"YEAR","JURISDICTION","Total_Conducted","Positive_Breath_Count","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","% positive breath test results"
2019,"VIC",3238498,9235,0,0,0,0.2851630601593702
2019,"WA",2135725,6878,0,0,0,0.32204520713106793
2020,"ACT",39355,888,0,0,0,2.256384195146741
2020,"NSW",2839850,13540,0,0,0,0.4767857457260067
2020,"NT",103102,7362,0,0,0,7.1405016391534595
2020,"QLD",1351230,16060,0,0,0,1.1885467314964884
2020,"SA",402700,4400,0,0,0,1.0926247827166624
2020,"VIC",1153190,4976,0,0,0,0.4314987122677096
2020,"WA",1292819,7510,0,0,0,0.5809011160881763
2021,"ACT",16141,767,0,0,0,4.751874109410817
2021,"NSW",2794704,12980,0,0,0,0.46444990238680023
2021,"NT",81987,5492,0,0,0,6.698622952419287
2021,"QLD",1569648,16402,0,0,0,1.0449476570543204
2021,"SA",480023,4062,0,0,0,0.8462094524637361
2021,"VIC",1343080,6363,0,0,0,0.4737618012329869
2021,"WA",1975362,7417,0,0,0,0.3754754824685298
2022,"ACT",35591,847,0,0,0,2.3798151218004553
2022,"NSW",3825522,15794,0,0,0,0.4128586896115092
2022,"NT",65819,5120,0,0,0,7.778908825719018
2022,"QLD",1657920,17007,0,0,0,1.025803416328894
2022,"SA",554774,4556,0,0,0,0.8212353138395094
2022,"VIC",2203908,8280,0,0,0,0.37569626318339966
2022,"WA",2179499,7331,0,0,0,0.33636170514416386
2023,"ACT",58457,742,0,68,742,1.2693090647826608
2023,"NSW",3514706,13971,4098,0,9873,0.39750124192464464
2023,"NT",107714,7722,0,449,1155,7.168984533115473
2023,"QLD",1853203,15859,0,0,0,0.8557616192073939
2023,"SA",598420,4333,1390,251,2943,0.7240733932689415
2023,"VIC",2927202,8257,0,0,0,0.282078244002293
2023,"WA",2014941,8299,2150,155,6149,0.41187310199157195
2024,"ACT",80098,644,0,55,644,0.8040150815251317
2024,"NSW",3432588,12995,3631,0,9364,0.3785773299912486
2024,"NT",105824,8717,231,489,1355,8.237261868763229
2024,"QLD",1868017,15336,0,0,0,0.8209775392836361
2024,"SA",545202,4434,1333,249,2852,0.81327654704128
2024,"VIC",2003310,5407,0,0,0,0.2699033100219137
2024,"WA",2117291,10268,1920,432,8348,0.4849593182987128
