"YEAR","JURISDICTION","Total_Conducted","Positive_Drug_Count","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)","% positive drug test results"
2022,"VIC",167648,10628,0,0,0,6.3394731819049435
2022,"WA",43627,6262,0,0,0,14.35349668783093
2023,"ACT",1050,203,0,42,203,19.333333333333332
2023,"NSW",159610,13517,4335,0,9182,8.468767621076374
2023,"QLD",57099,11853,0,27,11853,20.758682288656544
2023,"SA",52578,5329,3254,152,1842,10.135417855376772
2023,"TAS",4925,2223,0,0,0,45.13705583756345
2023,"VIC",150036,8813,0,0,0,5.873923591671333
2023,"WA",45901,5622,0,16,5506,12.248099169952724
2024,"ACT",1567,227,0,36,227,14.486279514996808
2024,"NSW",231258,19387,7300,0,12087,8.3832775514793
2024,"QLD",56662,12063,0,34,12063,21.28940030355441
2024,"SA",52721,5333,3101,120,1879,10.115513742152084
2024,"TAS",5298,2787,0,0,0,52.60475651189128
2024,"VIC",95958,5376,0,0,0,5.6024510723441505
2024,"WA",57219,7238,0,9,6709,12.649644348905085
